"ID"	"Population"	"Sex"	"V3"	"V4"
"BadSample_1_vss"	"VSS"	"female"	0.0288797	-0.00812994
"BadSample_10_vss"	"VSS"	"female"	-0.0159436	-0.0146057
"BadSample_11_vss"	"VSS"	"male"	-0.0168572	-0.0148489
"BadSample_12_vss"	"VSS"	"female"	-0.0162432	-0.0147946
"BadSample_13_vss"	"VSS"	"female"	-0.0172402	-0.0133261
"BadSample_14_vss"	"VSS"	"female"	-0.0168334	-0.0146715
"BadSample_15_vss"	"VSS"	"female"	-0.015624	-0.0135204
"BadSample_2_vss"	"VSS"	"female"	-0.0124395	-0.0140058
"BadSample_3_vss"	"VSS"	"female"	0.0177505	-0.0101226
"BadSample_4_vss"	"VSS"	"male"	-0.0132527	-0.0138324
"BadSample_5_vss"	"VSS"	"female"	0.0217545	-0.0132392
"BadSample_6_vss"	"VSS"	"female"	-0.0154968	-0.0137658
"BadSample_7_vss"	"VSS"	"male"	-0.0149347	-0.0139987
"BadSample_8_vss"	"VSS"	"female"	-0.0149593	-0.0130549
"BadSample_9_vss"	"VSS"	"female"	-0.0152945	-0.0130021
"HG00096"	"GBR"	"male"	-0.0153121	-0.0138631
"HG00096_vss"	"VSS"	"male"	-0.0152743	-0.0138735
"HG00097"	"GBR"	"female"	-0.0151933	-0.0141894
"HG00097_vss"	"VSS"	"female"	-0.0152876	-0.0141886
"HG00099"	"GBR"	"female"	-0.015586	-0.0142205
"HG00099_vss"	"VSS"	"female"	-0.015715	-0.0142392
"HG00100"	"GBR"	"female"	-0.015175	-0.014455
"HG00100_vss"	"VSS"	"female"	-0.0151604	-0.014434
"HG00101"	"GBR"	"male"	-0.0151475	-0.0137225
"HG00101_vss"	"VSS"	"male"	-0.0151736	-0.0137031
"HG00102"	"GBR"	"female"	-0.0157477	-0.0135897
"HG00102_vss"	"VSS"	"female"	-0.0157785	-0.0135742
"HG00103"	"GBR"	"male"	-0.0154674	-0.0139309
"HG00103_vss"	"VSS"	"male"	-0.0154643	-0.013932
"HG00104"	"GBR"	"female"	-0.0150577	-0.0137434
"HG00105_vss"	"VSS"	"male"	-0.0151565	-0.0137457
"HG00106"	"GBR"	"female"	-0.0159385	-0.0137498
"HG00106_vss"	"VSS"	"female"	-0.016004	-0.013724
"HG00107_vss"	"VSS"	"male"	-0.0159265	-0.0135722
"HG00108"	"GBR"	"male"	-0.015276	-0.0138572
"HG00108_vss"	"VSS"	"male"	-0.0152822	-0.0138556
"HG00109"	"GBR"	"male"	-0.0154635	-0.0142979
"HG00109_vss"	"VSS"	"male"	-0.0154545	-0.0142911
"HG00110"	"GBR"	"female"	-0.0156937	-0.0132626
"HG00110_vss"	"VSS"	"female"	-0.0156925	-0.0132609
"HG00111"	"GBR"	"female"	-0.0153103	-0.0137501
"HG00111_vss"	"VSS"	"female"	-0.0152947	-0.013761
"HG00112"	"GBR"	"male"	-0.0156192	-0.0138008
"HG00112_vss"	"VSS"	"male"	-0.0156786	-0.0137964
"HG00113"	"GBR"	"male"	-0.0153963	-0.0142114
"HG00113_vss"	"VSS"	"male"	-0.0154152	-0.0142208
"HG00114"	"GBR"	"male"	-0.0152684	-0.0139476
"HG00114_vss"	"VSS"	"male"	-0.0152614	-0.0139629
"HG00115_vss"	"VSS"	"male"	-0.0154586	-0.0136012
"HG00116"	"GBR"	"male"	-0.0158691	-0.0136887
"HG00116_vss"	"VSS"	"male"	-0.0158721	-0.0136756
"HG00117"	"GBR"	"male"	-0.0158645	-0.0142474
"HG00117_vss"	"VSS"	"male"	-0.0158443	-0.0142548
"HG00118"	"GBR"	"female"	-0.0155077	-0.0138007
"HG00118_vss"	"VSS"	"female"	-0.0155742	-0.0138345
"HG00119"	"GBR"	"male"	-0.0155143	-0.0137228
"HG00119_vss"	"VSS"	"male"	-0.015506	-0.0137301
"HG00120"	"GBR"	"female"	-0.0158647	-0.0146535
"HG00120_vss"	"VSS"	"female"	-0.0158502	-0.0146541
"HG00121"	"GBR"	"female"	-0.0159369	-0.0143799
"HG00121_vss"	"VSS"	"female"	-0.0159678	-0.0143589
"HG00122"	"GBR"	"female"	-0.0154724	-0.0135385
"HG00122_vss"	"VSS"	"female"	-0.0155471	-0.0135286
"HG00123"	"GBR"	"female"	-0.0151547	-0.0140717
"HG00123_vss"	"VSS"	"female"	-0.0151535	-0.0140653
"HG00124"	"GBR"	"female"	-0.0155033	-0.0139347
"HG00125"	"GBR"	"female"	-0.0153642	-0.0138253
"HG00125_vss"	"VSS"	"female"	-0.0153467	-0.0138495
"HG00126"	"GBR"	"male"	-0.0155299	-0.014774
"HG00126_vss"	"VSS"	"male"	-0.0155895	-0.0147727
"HG00127"	"GBR"	"female"	-0.0156836	-0.013886
"HG00127_vss"	"VSS"	"female"	-0.0156667	-0.0138806
"HG00128"	"GBR"	"female"	-0.0150829	-0.0150262
"HG00128_vss"	"VSS"	"female"	-0.0151956	-0.0150502
"HG00129"	"GBR"	"male"	-0.0154024	-0.0140301
"HG00129_vss"	"VSS"	"male"	-0.0154982	-0.0140686
"HG00130"	"GBR"	"female"	-0.01491	-0.0146811
"HG00130_vss"	"VSS"	"female"	-0.0149901	-0.0147013
"HG00131"	"GBR"	"male"	-0.0152797	-0.0143693
"HG00131_vss"	"VSS"	"male"	-0.0152805	-0.0143526
"HG00132_vss"	"VSS"	"female"	-0.0157664	-0.0142033
"HG00133"	"GBR"	"female"	-0.0156316	-0.0145528
"HG00133_vss"	"VSS"	"female"	-0.0156395	-0.01456
"HG00134"	"GBR"	"female"	-0.0153264	-0.0145837
"HG00135"	"GBR"	"female"	-0.0153328	-0.0143171
"HG00136"	"GBR"	"male"	-0.015534	-0.013766
"HG00136_vss"	"VSS"	"male"	-0.0155078	-0.0137528
"HG00137"	"GBR"	"female"	-0.0156512	-0.0145008
"HG00137_vss"	"VSS"	"female"	-0.0156133	-0.0144672
"HG00138"	"GBR"	"male"	-0.0154548	-0.0142725
"HG00138_vss"	"VSS"	"male"	-0.0154473	-0.0142737
"HG00139"	"GBR"	"male"	-0.0150437	-0.0146371
"HG00139_vss"	"VSS"	"male"	-0.0150359	-0.0146049
"HG00140"	"GBR"	"male"	-0.0157191	-0.0136383
"HG00140_vss"	"VSS"	"male"	-0.0157383	-0.0136363
"HG00141"	"GBR"	"male"	-0.0158703	-0.0141872
"HG00141_vss"	"VSS"	"male"	-0.0159588	-0.0141792
