"IID1"	"IID2"	"PI_HAT"
"BadSample_6"	"BadSample_3"	0.2374
"BadSample_6"	"BadSample_12"	0.2501
"BadSample_6"	"BadSample_13"	0.3089
"BadSample_6"	"BadSample_15"	0.3106
"BadSample_7"	"BadSample_3"	0.2189
"BadSample_7"	"BadSample_12"	0.2496
"BadSample_7"	"BadSample_13"	0.3029
"BadSample_7"	"BadSample_15"	0.3045
"BadSample_8"	"BadSample_3"	0.226
"BadSample_8"	"BadSample_12"	0.241
"BadSample_8"	"BadSample_13"	0.3057
"BadSample_8"	"BadSample_15"	0.3073
"BadSample_9"	"BadSample_3"	0.2465
"BadSample_9"	"BadSample_12"	0.2581
"BadSample_9"	"BadSample_13"	0.3094
"BadSample_9"	"BadSample_15"	0.3149
"BadSample_10"	"BadSample_3"	0.2246
"BadSample_10"	"BadSample_12"	0.251
"BadSample_10"	"BadSample_13"	0.2945
"BadSample_10"	"BadSample_15"	0.311
"BadSample_1"	"BadSample_2"	0.2638
"BadSample_1"	"BadSample_3"	0.5972
"BadSample_1"	"BadSample_5"	0.716
"BadSample_2"	"BadSample_3"	0.3562
"BadSample_2"	"BadSample_5"	0.245
"BadSample_2"	"BadSample_11"	0.2519
"BadSample_2"	"BadSample_12"	0.3192
"BadSample_2"	"BadSample_13"	0.3598
"BadSample_2"	"BadSample_14"	0.2743
"BadSample_2"	"BadSample_15"	0.3622
"BadSample_3"	"BadSample_4"	0.2946
"BadSample_3"	"BadSample_5"	0.5798
"BadSample_3"	"BadSample_11"	0.2826
"BadSample_3"	"BadSample_12"	0.2957
"BadSample_3"	"BadSample_13"	0.315
"BadSample_3"	"BadSample_14"	0.2759
"BadSample_3"	"BadSample_15"	0.3192
"BadSample_3"	"HG00096"	0.2259
"BadSample_3"	"HG00097"	0.2194
"BadSample_3"	"HG00099"	0.2188
"BadSample_3"	"HG00100"	0.2195
"BadSample_3"	"HG00101"	0.2255
"BadSample_3"	"HG00102"	0.2284
"BadSample_3"	"HG00103"	0.2169
"BadSample_3"	"HG00105"	0.2241
"BadSample_3"	"HG00106"	0.228
"BadSample_3"	"HG00107"	0.2246
"BadSample_3"	"HG00108"	0.224
"BadSample_3"	"HG00109"	0.2302
"BadSample_3"	"HG00110"	0.2117
"BadSample_3"	"HG00111"	0.2137
"BadSample_3"	"HG00112"	0.2194
"BadSample_3"	"HG00113"	0.2195
